CONSENTRATIONS	step	temp	pH	H2S(aq)	HS-	Methane(aq)	Fe++	H2(aq)	NO3-	O2(aq)	NH4+	SO4--	MgSO4(aq)	CaSO4(aq)	KSO4-	HCO3-	MgHCO3+	NaHCO3(aq)	CO2(aq)
CONSENTRATIONS	90	2.0	7.925	1.593e-09	8.501e-09	1.047e-07	1.321e-10	1.94e-10	1.20000000028e-05	0.00031995	6.39888e-10	0.0278951048221	0	0.001389	0.0003461	0.002147	0	0	6.33e-05
CONSENTRATIONS	91	2.0	7.925	1.565e-09	8.356e-09	1.027e-07	1.296e-10	1.903e-10	1.20000000028e-05	0.00031995	6.27726e-10	0.0278951048181	0	0.001389	0.0003461	0.002147	0	0	6.326e-05
CONSENTRATIONS	92	2.0	7.926	1.538e-09	8.217e-09	1.008e-07	1.272e-10	1.868e-10	1.20000000028e-05	0.00031995	6.15966e-10	0.0278951048151	0	0.001389	0.0003461	0.002147	0	0	6.322e-05
CONSENTRATIONS	93	2.0	7.926	1.512e-09	8.082e-09	9.895e-08	1.248e-10	1.833e-10	1.20000000028e-05	0.00031995	6.04708e-10	0.0278951048121	0	0.001389	0.0003461	0.002147	0	0	6.318e-05
CONSENTRATIONS	94	2.0	7.926	1.487e-09	7.953e-09	9.717e-08	1.226e-10	1.8e-10	1.20000000028e-05	0.00031995	5.93852e-10	0.0278951048101	0	0.001389	0.0003461	0.002147	0	0	6.314e-05
CONSENTRATIONS	95	2.0	7.926	1.462e-09	7.828e-09	9.545e-08	1.204e-10	1.769e-10	1.20000000028e-05	0.00031995	5.83298e-10	0.0278951048071	0	0.001389	0.0003461	0.002147	0	0	6.31e-05
CONSENTRATIONS	96	2.0	7.927	1.439e-09	7.707e-09	9.379e-08	1.183e-10	1.738e-10	1.20000000028e-05	0.00031995	5.73146e-10	0.0278951048041	0	0.001389	0.0003461	0.002147	0	0	6.307e-05
CONSENTRATIONS	97	2.0	7.927	1.417e-09	7.59e-09	9.219e-08	1.163e-10	1.708e-10	1.20000000028e-05	0.00031995	5.63395e-10	0.0278951048021	0	0.001389	0.0003461	0.002147	0	0	6.303e-05
CONSENTRATIONS	98	2.0	7.927	1.395e-09	7.478e-09	9.065e-08	1.144e-10	1.68e-10	1.20000000028e-05	0.00031995	5.53946e-10	0.0278951047991	0	0.001389	0.0003461	0.002147	0	0	6.3e-05
CONSENTRATIONS	99	2.0	7.927	1.374e-09	7.369e-09	8.915e-08	1.125e-10	1.652e-10	1.20000000028e-05	0.00031995	5.44799e-10	0.0278951047971	0	0.001389	0.0003461	0.002147	0	0	6.297e-05
CONSENTRATIONS	100	2.0	7.928	1.354e-09	7.263e-09	8.77e-08	1.106e-10	1.625e-10	1.20000000028e-05	0.00031995	5.35953e-10	0.0278951047941	0	0.001389	0.0003461	0.002147	0	0	6.294e-05
CONSENTRATIONS	101	2.0	7.928	1.334e-09	7.161e-09	8.63e-08	1.089e-10	1.599e-10	1.20000000028e-05	0.00031995	5.27409e-10	0.0278951047921	0	0.001389	0.0003461	0.002147	0	0	6.291e-05
CONSENTRATIONS	102	2.0	7.928	1.315e-09	7.062e-09	8.494e-08	1.072e-10	1.574e-10	1.20000000028e-05	0.00031995	5.19066e-10	0.0278951047901	0	0.001389	0.0003461	0.002147	0	0	6.288e-05
CONSENTRATIONS	103	2.0	7.928	1.296e-09	6.967e-09	8.363e-08	1.055e-10	1.55e-10	1.20000000028e-05	0.00031995	5.11025e-10	0.0278951047881	0	0.001389	0.0003461	0.002147	0	0	6.285e-05
CONSENTRATIONS	104	2.0	7.928	1.279e-09	6.874e-09	8.235e-08	1.039e-10	1.526e-10	1.20000000028e-05	0.00031995	5.03284e-10	0.0278951047861	0	0.001389	0.0003461	0.002147	0	0	6.282e-05
CONSENTRATIONS	105	2.0	7.929	1.261e-09	6.783e-09	8.111e-08	1.023e-10	1.503e-10	1.20000000028e-05	0.00031995	4.95745e-10	0.0278951047841	0	0.001389	0.0003461	0.002147	0	0	6.28e-05
CONSENTRATIONS	106	2.0	7.929	1.245e-09	6.696e-09	7.991e-08	1.008e-10	1.481e-10	1.20000000028e-05	0.00031995	4.88407e-10	0.0278951047821	0	0.001389	0.0003461	0.002146	0	0	6.277e-05
CONSENTRATIONS	0	229.0	4.69	0.0004629	6.134e-06	0.0054	2.563e-06	1e-05	9.9996036e-15	7.9e-15	3.3003e-05	1.00003e-14	0	4.103e-15	1.214e-15	0.0004703	0	0	0.1729
CONSENTRATIONS	1	226.8	4.695	0.000458	6.33e-06	0.005347	2.649e-06	9.901e-06	1.18806723e-07	3.1679e-06	3.2672e-05	0.0002762703	0	0.0001122	3.314e-05	0.0004981	0	0	0.1712
CONSENTRATIONS	2	224.4	4.7	0.0004528	6.523e-06	0.005289	2.74e-06	9.794e-06	2.4681307e-07	6.5807e-06	3.2319e-05	0.0005738811	0	0.0002303	6.796e-05	0.000528	0	0	0.1693
CONSENTRATIONS	3	221.8	4.703	0.0004473	6.712e-06	0.005227	2.835e-06	9.68e-06	3.8451902e-07	1.02542e-05	3.1947e-05	0.0008938311	0	0.0003537	0.0001043	0.0005601	0	0	0.1673
CONSENTRATIONS	4	219.0	4.706	0.0004413	6.894e-06	0.005161	2.934e-06	9.556e-06	5.3222456e-07	1.41884e-05	3.1538e-05	0.0012374294	0	0.000482	0.000142	0.0005946	0	0	0.1652
CONSENTRATIONS	5	216.0	4.708	0.0004349	7.067e-06	0.005089	3.034e-06	9.425e-06	6.9042967e-07	1.8407e-05	3.1102e-05	0.001605246	0	0.0006141	0.0001808	0.0006315	0	0	0.1629
